From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P63316	P63316	reviewed	TNNC1_HUMAN	Troponin C, slow skeletal and cardiac muscles (TN-C)	TNNC1 TNNC	Homo sapiens (Human)	161
P43007	P43007	reviewed	SATT_HUMAN	Neutral amino acid transporter A (Alanine/serine/cysteine/threonine transporter 1) (ASCT-1) (Solute carrier family 1 member 4)	SLC1A4 ASCT1 SATT	Homo sapiens (Human)	532
Q76N32	Q76N32	reviewed	CEP68_HUMAN	Centrosomal protein of 68 kDa (Cep68)	CEP68 KIAA0582	Homo sapiens (Human)	757
Q96PL5	Q96PL5	reviewed	ERMAP_HUMAN	Erythroid membrane-associated protein (hERMAP) (Radin blood group antigen) (Scianna blood group antigen)	ERMAP RD SC	Homo sapiens (Human)	475
A7KAX9	A7KAX9	reviewed	RHG32_HUMAN	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2087
Q08211	Q08211	reviewed	DHX9_HUMAN	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	1270
Q9Y2D5	Q9Y2D5	reviewed	AKAP2_HUMAN	A-kinase anchor protein 2 (AKAP-2) (AKAP-KL) (Protein kinase A-anchoring protein 2) (PRKA2)	AKAP2 KIAA0920 PRKA2	Homo sapiens (Human)	859
P48444	P48444	reviewed	COPD_HUMAN	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)	ARCN1 COPD	Homo sapiens (Human)	511
Q9NSY1	Q9NSY1	reviewed	BMP2K_HUMAN	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	BMP2K BIKE HRIHFB2017	Homo sapiens (Human)	1161
Q14112	Q14112	reviewed	NID2_HUMAN	Nidogen-2 (NID-2) (Osteonidogen)	NID2	Homo sapiens (Human)	1375
O75044	O75044	reviewed	SRGP2_HUMAN	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2) (Rho GTPase-activating protein 34)	SRGAP2 ARHGAP34 FNBP2 KIAA0456 SRGAP2A	Homo sapiens (Human)	1071
Q5JTV8	Q5JTV8	reviewed	TOIP1_HUMAN	Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B)	TOR1AIP1 LAP1	Homo sapiens (Human)	583
Q13362	Q13362	reviewed	2A5G_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma) (Renal carcinoma antigen NY-REN-29)	PPP2R5C KIAA0044	Homo sapiens (Human)	524
Q14738	Q14738	reviewed	2A5D_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A B subunit isoform B'-delta) (PP2A B subunit isoform B56-delta) (PP2A B subunit isoform PR61-delta) (PP2A B subunit isoform R5-delta)	PPP2R5D	Homo sapiens (Human)	602
Q9NRA0	Q9NRA0	reviewed	SPHK2_HUMAN	Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91)	SPHK2 SK2	Homo sapiens (Human)	654
P43121	P43121	reviewed	MUC18_HUMAN	Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146)	MCAM MUC18	Homo sapiens (Human)	646
Q9BXK5	Q9BXK5	reviewed	B2L13_HUMAN	Bcl-2-like protein 13 (Bcl2-L-13) (Bcl-rambo) (Protein Mil1)	BCL2L13 MIL1 CD003	Homo sapiens (Human)	485
Q5HYW2	Q5HYW2	reviewed	NHSL2_HUMAN	NHS-like protein 2	NHSL2	Homo sapiens (Human)	1225
Q9Y2D4	Q9Y2D4	reviewed	EXC6B_HUMAN	Exocyst complex component 6B (Exocyst complex component Sec15B) (SEC15-like protein 2)	EXOC6B KIAA0919 SEC15B SEC15L2	Homo sapiens (Human)	811
Q66GS9	Q66GS9	reviewed	CP135_HUMAN	Centrosomal protein of 135 kDa (Cep135) (Centrosomal protein 4)	CEP135 CEP4 KIAA0635	Homo sapiens (Human)	1140
Q96L92	Q96L92	reviewed	SNX27_HUMAN	Sorting nexin-27	SNX27 KIAA0488 My014	Homo sapiens (Human)	541
Q15040	Q15040	reviewed	JOS1_HUMAN	Josephin-1 (EC 3.4.19.12) (Josephin domain-containing protein 1)	JOSD1 JSPH1 KIAA0063	Homo sapiens (Human)	202
Q9BYW2	Q9BYW2	reviewed	SETD2_HUMAN	Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP)	SETD2 HIF1 HYPB KIAA1732 KMT3A SET2 HSPC069	Homo sapiens (Human)	2564
Q92574	Q92574	reviewed	TSC1_HUMAN	Hamartin (Tuberous sclerosis 1 protein)	TSC1 KIAA0243 TSC	Homo sapiens (Human)	1164
P08473	P08473	reviewed	NEP_HUMAN	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	MME EPN	Homo sapiens (Human)	750
O95297	O95297	reviewed	MPZL1_HUMAN	Myelin protein zero-like protein 1 (Protein zero-related)	MPZL1 PZR UNQ849/PRO1787	Homo sapiens (Human)	269
P40227	P40227	reviewed	TCPZ_HUMAN	T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)	CCT6A CCT6 CCTZ	Homo sapiens (Human)	531
Q9NQ75	Q9NQ75	reviewed	CASS4_HUMAN	Cas scaffolding protein family member 4 (HEF-like protein) (HEF1-EFS-p130Cas-like protein) (HEPL)	CASS4 C20orf32 HEFL	Homo sapiens (Human)	786
O15164	O15164	reviewed	TIF1A_HUMAN	Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)	TRIM24 RNF82 TIF1 TIF1A	Homo sapiens (Human)	1050
Q5JXC2	Q5JXC2	reviewed	MIIP_HUMAN	Migration and invasion-inhibitory protein (IGFBP2-binding protein) (Invasion-inhibitory protein 45) (IIp45)	MIIP IIP45	Homo sapiens (Human)	388
P78536	P78536	reviewed	ADA17_HUMAN	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	ADAM17 CSVP TACE	Homo sapiens (Human)	824
P18206	P18206	reviewed	VINC_HUMAN	Vinculin (Metavinculin) (MV)	VCL	Homo sapiens (Human)	1134
Q9P0U3	Q9P0U3	reviewed	SENP1_HUMAN	Sentrin-specific protease 1 (EC 3.4.22.-) (Sentrin/SUMO-specific protease SENP1)	SENP1	Homo sapiens (Human)	644
Q27J81	Q27J81	reviewed	INF2_HUMAN	Inverted formin-2 (HBEBP2-binding protein C)	INF2 C14orf151 C14orf173	Homo sapiens (Human)	1249
P09382	P09382	reviewed	LEG1_HUMAN	Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	LGALS1	Homo sapiens (Human)	135
Q3SY69	Q3SY69	reviewed	AL1L2_HUMAN	Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2)	ALDH1L2	Homo sapiens (Human)	923
Q5T5P2	Q5T5P2	reviewed	SKT_HUMAN	Sickle tail protein homolog	KIAA1217 SKT	Homo sapiens (Human)	1943
P27987	P27987	reviewed	IP3KB_HUMAN	Inositol-trisphosphate 3-kinase B (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase B) (IP3 3-kinase B) (IP3K B) (InsP 3-kinase B)	ITPKB	Homo sapiens (Human)	946
Q96AQ6	Q96AQ6	reviewed	PBIP1_HUMAN	Pre-B-cell leukemia transcription factor-interacting protein 1 (Hematopoietic PBX-interacting protein)	PBXIP1 HPIP	Homo sapiens (Human)	731
O75064	O75064	reviewed	DEN4B_HUMAN	DENN domain-containing protein 4B	DENND4B KIAA0476	Homo sapiens (Human)	1496
P08651	P08651	reviewed	NFIC_HUMAN	Nuclear factor 1 C-type (NF1-C) (Nuclear factor 1/C) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/C) (NF-I/C) (NFI-C) (TGGCA-binding protein)	NFIC NFI	Homo sapiens (Human)	508
O60447	O60447	reviewed	EVI5_HUMAN	Ecotropic viral integration site 5 protein homolog (EVI-5) (Neuroblastoma stage 4S gene protein)	EVI5 NB4S	Homo sapiens (Human)	810
Q96AJ1	Q96AJ1	reviewed	CLUA1_HUMAN	Clusterin-associated protein 1 (Qilin)	CLUAP1 KIAA0643	Homo sapiens (Human)	413
Q9H706	Q9H706	reviewed	GARE1_HUMAN	GRB2-associated and regulator of MAPK protein 1 (GRB2-associated and regulator of MAPK1)	GAREM1 C18orf11 FAM59A GAREM	Homo sapiens (Human)	876
P0CAP2	P0CAP2	reviewed	GRL1A_HUMAN	DNA-directed RNA polymerase II subunit GRINL1A (DNA-directed RNA polymerase II subunit M) (Glutamate receptor-like protein 1A)	POLR2M GRINL1A	Homo sapiens (Human)	368
P98082	P98082	reviewed	DAB2_HUMAN	Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Differentially-expressed protein 2)	DAB2 DOC2	Homo sapiens (Human)	770
Q99523	Q99523	reviewed	SORT_HUMAN	Sortilin (100 kDa NT receptor) (Glycoprotein 95) (Gp95) (Neurotensin receptor 3) (NT3) (NTR3)	SORT1	Homo sapiens (Human)	831
Q15555	Q15555	reviewed	MARE2_HUMAN	Microtubule-associated protein RP/EB family member 2 (APC-binding protein EB2) (End-binding protein 2) (EB2)	MAPRE2 RP1	Homo sapiens (Human)	327
P40189	P40189	reviewed	IL6RB_HUMAN	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	IL6ST	Homo sapiens (Human)	918
Q6ICG6	Q6ICG6	reviewed	K0930_HUMAN	Uncharacterized protein KIAA0930	KIAA0930 C22orf9	Homo sapiens (Human)	404
Q2PPJ7	Q2PPJ7	reviewed	RGPA2_HUMAN	Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (p220)	RALGAPA2 C20orf74 KIAA1272	Homo sapiens (Human)	1873
O43293	O43293	reviewed	DAPK3_HUMAN	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	DAPK3 ZIPK	Homo sapiens (Human)	454
P40123	P40123	reviewed	CAP2_HUMAN	Adenylyl cyclase-associated protein 2 (CAP 2)	CAP2	Homo sapiens (Human)	477
O75971	O75971	reviewed	SNPC5_HUMAN	snRNA-activating protein complex subunit 5 (SNAPc subunit 5) (Small nuclear RNA-activating complex polypeptide 5) (snRNA-activating protein complex 19 kDa subunit) (SNAPc 19 kDa subunit)	SNAPC5 SNAP19	Homo sapiens (Human)	98
Q96QD8	Q96QD8	reviewed	S38A2_HUMAN	Sodium-coupled neutral amino acid transporter 2 (Amino acid transporter A2) (Protein 40-9-1) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2)	SLC38A2 ATA2 KIAA1382 SAT2 SNAT2	Homo sapiens (Human)	506
Q14938	Q14938	reviewed	NFIX_HUMAN	Nuclear factor 1 X-type (NF1-X) (Nuclear factor 1/X) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/X) (NF-I/X) (NFI-X) (TGGCA-binding protein)	NFIX	Homo sapiens (Human)	502
Q14684	Q14684	reviewed	RRP1B_HUMAN	Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B)	RRP1B KIAA0179	Homo sapiens (Human)	758
Q8TAT6	Q8TAT6	reviewed	NPL4_HUMAN	Nuclear protein localization protein 4 homolog (Protein NPL4)	NPLOC4 KIAA1499 NPL4	Homo sapiens (Human)	608
Q96HP0	Q96HP0	reviewed	DOCK6_HUMAN	Dedicator of cytokinesis protein 6	DOCK6 KIAA1395	Homo sapiens (Human)	2047
Q9UBT2	Q9UBT2	reviewed	SAE2_HUMAN	SUMO-activating enzyme subunit 2 (EC 2.3.2.-) (Anthracycline-associated resistance ARX) (Ubiquitin-like 1-activating enzyme E1B) (Ubiquitin-like modifier-activating enzyme 2)	UBA2 SAE2 UBLE1B HRIHFB2115	Homo sapiens (Human)	640
P62826	P62826	reviewed	RAN_HUMAN	GTP-binding nuclear protein Ran (EC 3.6.5.-) (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN ARA24 OK/SW-cl.81	Homo sapiens (Human)	216
O00429	O00429	reviewed	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
Q08170	Q08170	reviewed	SRSF4_HUMAN	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	SRSF4 SFRS4 SRP75	Homo sapiens (Human)	494
Q7Z422	Q7Z422	reviewed	SZRD1_HUMAN	SUZ domain-containing protein 1 (Putative MAPK-activating protein PM18/PM20/PM22)	SZRD1 C1orf144	Homo sapiens (Human)	152
P28290	P28290	reviewed	ITPI2_HUMAN	Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2)	ITPRID2 CS1 KIAA1927 KRAP SSFA2	Homo sapiens (Human)	1259
Q6P3S1	Q6P3S1	reviewed	DEN1B_HUMAN	DENN domain-containing protein 1B (Connecdenn 2) (Protein FAM31B)	DENND1B C1orf218 FAM31B	Homo sapiens (Human)	775
Q9UBM7	Q9UBM7	reviewed	DHCR7_HUMAN	7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Delta7-sterol reductase) (Sterol Delta(7)-reductase) (Sterol reductase SR-2)	DHCR7 D7SR	Homo sapiens (Human)	475
Q7Z5H3	Q7Z5H3	reviewed	RHG22_HUMAN	Rho GTPase-activating protein 22 (Rho-type GTPase-activating protein 22)	ARHGAP22 RHOGAP2	Homo sapiens (Human)	698
Q8WWN8	Q8WWN8	reviewed	ARAP3_HUMAN	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3)	ARAP3 CENTD3	Homo sapiens (Human)	1544
Q9HCH5	Q9HCH5	reviewed	SYTL2_HUMAN	Synaptotagmin-like protein 2 (Breast cancer-associated antigen SGA-72M) (Exophilin-4)	SYTL2 KIAA1597 SGA72M SLP2 SLP2A	Homo sapiens (Human)	934
Q8ND76	Q8ND76	reviewed	CCNY_HUMAN	Cyclin-Y (Cyc-Y) (Cyclin box protein 1) (Cyclin fold protein 1) (cyclin-X)	CCNY C10orf9 CBCP1 CFP1	Homo sapiens (Human)	341
Q96B18	Q96B18	reviewed	DACT3_HUMAN	Dapper homolog 3 (Antagonist of beta-catenin Dapper homolog 3) (Arginine-rich region 1 protein) (Dapper antagonist of catenin 3)	DACT3 RRR1	Homo sapiens (Human)	629
Q01970	Q01970	reviewed	PLCB3_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)	PLCB3	Homo sapiens (Human)	1234
Q15075	Q15075	reviewed	EEA1_HUMAN	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)	EEA1 ZFYVE2	Homo sapiens (Human)	1411
O75976	O75976	reviewed	CBPD_HUMAN	Carboxypeptidase D (EC 3.4.17.22) (Metallocarboxypeptidase D) (gp180)	CPD	Homo sapiens (Human)	1380
Q9UBS9	Q9UBS9	reviewed	SUCO_HUMAN	SUN domain-containing ossification factor (Membrane protein CH1) (Protein osteopotentia homolog) (SUN-like protein 1)	SUCO C1orf9 CH1 OPT SLP1	Homo sapiens (Human)	1254
Q14764	Q14764	reviewed	MVP_HUMAN	Major vault protein (MVP) (Lung resistance-related protein)	MVP LRP	Homo sapiens (Human)	893
Q96NN9	Q96NN9	reviewed	AIFM3_HUMAN	Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein)	AIFM3 AIFL	Homo sapiens (Human)	605
Q53HC0	Q53HC0	reviewed	CCD92_HUMAN	Coiled-coil domain-containing protein 92 (Limkain beta-2)	CCDC92	Homo sapiens (Human)	331
Q13185	Q13185	reviewed	CBX3_HUMAN	Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (Modifier 2 protein)	CBX3	Homo sapiens (Human)	183
O15155	O15155	reviewed	BET1_HUMAN	BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18)	BET1	Homo sapiens (Human)	118
Q9BZE9	Q9BZE9	reviewed	ASPC1_HUMAN	Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein) (Alveolar soft part sarcoma locus) (Renal papillary cell carcinoma protein 17) (UBX domain-containing protein 9)	ASPSCR1 ASPL RCC17 TUG UBXD9 UBXN9	Homo sapiens (Human)	553
Q9Y2X7	Q9Y2X7	reviewed	GIT1_HUMAN	ARF GTPase-activating protein GIT1 (ARF GAP GIT1) (Cool-associated and tyrosine-phosphorylated protein 1) (CAT-1) (CAT1) (G protein-coupled receptor kinase-interactor 1) (GRK-interacting protein 1) (p95-APP1)	GIT1	Homo sapiens (Human)	761
O95292	O95292	reviewed	VAPB_HUMAN	Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	VAPB UNQ484/PRO983	Homo sapiens (Human)	243
Q9NQC7	Q9NQC7	reviewed	CYLD_HUMAN	Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD)	CYLD CYLD1 KIAA0849 HSPC057	Homo sapiens (Human)	956
Q99650	Q99650	reviewed	OSMR_HUMAN	Oncostatin-M-specific receptor subunit beta (Interleukin-31 receptor subunit beta) (IL-31 receptor subunit beta) (IL-31R subunit beta) (IL-31R-beta) (IL-31RB)	OSMR OSMRB	Homo sapiens (Human)	979
Q8NHQ8	Q8NHQ8	reviewed	RASF8_HUMAN	Ras association domain-containing protein 8 (Carcinoma-associated protein HOJ-1)	RASSF8 C12orf2	Homo sapiens (Human)	419
P18615	P18615	reviewed	NELFE_HUMAN	Negative elongation factor E (NELF-E) (RNA-binding protein RD)	NELFE RD RDBP	Homo sapiens (Human)	380
Q92997	Q92997	reviewed	DVL3_HUMAN	Segment polarity protein dishevelled homolog DVL-3 (Dishevelled-3) (DSH homolog 3)	DVL3 KIAA0208	Homo sapiens (Human)	716
Q8TEW0	Q8TEW0	reviewed	PARD3_HUMAN	Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)	PARD3 PAR3 PAR3A	Homo sapiens (Human)	1356
Q9H694	Q9H694	reviewed	BICC1_HUMAN	Protein bicaudal C homolog 1 (Bic-C)	BICC1	Homo sapiens (Human)	974
Q53SF7	Q53SF7	reviewed	COBL1_HUMAN	Cordon-bleu protein-like 1	COBLL1 KIAA0977	Homo sapiens (Human)	1128
Q99614	Q99614	reviewed	TTC1_HUMAN	Tetratricopeptide repeat protein 1 (TPR repeat protein 1)	TTC1 TPR1	Homo sapiens (Human)	292
Q5UIP0	Q5UIP0	reviewed	RIF1_HUMAN	Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog)	RIF1	Homo sapiens (Human)	2472
Q8N7R7	Q8N7R7	reviewed	CCYL1_HUMAN	Cyclin-Y-like protein 1	CCNYL1	Homo sapiens (Human)	359
Q9BZ71	Q9BZ71	reviewed	PITM3_HUMAN	Membrane-associated phosphatidylinositol transfer protein 3 (Phosphatidylinositol transfer protein, membrane-associated 3) (PITPnm 3) (Pyk2 N-terminal domain-interacting receptor 1) (NIR-1)	PITPNM3 NIR1	Homo sapiens (Human)	974
P06400	P06400	reviewed	RB_HUMAN	Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb) (Rb) (pp110)	RB1	Homo sapiens (Human)	928
Q9BWH2	Q9BWH2	reviewed	FUND2_HUMAN	FUN14 domain-containing protein 2 (Cervical cancer proto-oncogene 3 protein) (HCC-3) (Hepatitis C virus core-binding protein 6)	FUNDC2 HCBP6 DC44 HCC3 PD03104	Homo sapiens (Human)	189
Q5T1M5	Q5T1M5	reviewed	FKB15_HUMAN	FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)	FKBP15 KIAA0674	Homo sapiens (Human)	1219
P31321	P31321	reviewed	KAP1_HUMAN	cAMP-dependent protein kinase type I-beta regulatory subunit	PRKAR1B	Homo sapiens (Human)	381
Q9P0V3	Q9P0V3	reviewed	SH3B4_HUMAN	SH3 domain-binding protein 4 (EH-binding protein 10) (Transferrin receptor-trafficking protein)	SH3BP4 BOG25 EHB10 TTP	Homo sapiens (Human)	963
Q8TDY8	Q8TDY8	reviewed	IGDC4_HUMAN	Immunoglobulin superfamily DCC subclass member 4 (Neighbor of punc e11) (Protein DDM36) (hDDM36)	IGDCC4 DDM36 KIAA1628 NOPE	Homo sapiens (Human)	1250
Q9Y4F1	Q9Y4F1	reviewed	FARP1_HUMAN	FERM, ARHGEF and pleckstrin domain-containing protein 1 (Chondrocyte-derived ezrin-like protein) (FERM, RhoGEF and pleckstrin domain-containing protein 1) (Pleckstrin homology domain-containing family C member 2) (PH domain-containing family C member 2)	FARP1 CDEP PLEKHC2	Homo sapiens (Human)	1045
A2RU67	A2RU67	reviewed	F234B_HUMAN	Protein FAM234B	FAM234B KIAA1467	Homo sapiens (Human)	622
Q9Y3Q8	Q9Y3Q8	reviewed	T22D4_HUMAN	TSC22 domain family protein 4 (TSC22-related-inducible leucine zipper protein 2) (Tsc-22-like protein THG-1)	TSC22D4 THG1 TILZ2	Homo sapiens (Human)	395
Q01130	Q01130	reviewed	SRSF2_HUMAN	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	SRSF2 SFRS2	Homo sapiens (Human)	221
Q14774	Q14774	reviewed	HLX_HUMAN	H2.0-like homeobox protein (Homeobox protein HB24) (Homeobox protein HLX1)	HLX HLX1	Homo sapiens (Human)	488
Q9Y6R4	Q9Y6R4	reviewed	M3K4_HUMAN	Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1	Homo sapiens (Human)	1608
Q00653	Q00653	reviewed	NFKB2_HUMAN	Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit]	NFKB2 LYT10	Homo sapiens (Human)	900
Q14242	Q14242	reviewed	SELPL_HUMAN	P-selectin glycoprotein ligand 1 (PSGL-1) (Selectin P ligand) (CD antigen CD162)	SELPLG	Homo sapiens (Human)	412
Q6P1R3	Q6P1R3	reviewed	MSD2_HUMAN	Myb/SANT-like DNA-binding domain-containing protein 2	MSANTD2 C11orf61	Homo sapiens (Human)	559
P35658	P35658	reviewed	NU214_HUMAN	Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN)	NUP214 CAIN CAN KIAA0023	Homo sapiens (Human)	2090
Q9BTE7	Q9BTE7	reviewed	DCNL5_HUMAN	DCN1-like protein 5 (DCNL5) (DCUN1 domain-containing protein 5) (Defective in cullin neddylation protein 1-like protein 5) (Squamous cell carcinoma-related oncogene 5)	DCUN1D5 SCCRO5	Homo sapiens (Human)	237
Q92793	Q92793	reviewed	CBP_HUMAN	CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-)	CREBBP CBP	Homo sapiens (Human)	2442
Q9NP66	Q9NP66	reviewed	HM20A_HUMAN	High mobility group protein 20A (HMG box-containing protein 20A) (HMG domain-containing protein 1) (HMG domain-containing protein HMGX1)	HMG20A HMGX1 HMGXB1	Homo sapiens (Human)	347
Q7L804	Q7L804	reviewed	RFIP2_HUMAN	Rab11 family-interacting protein 2 (Rab11-FIP2) (NRip11)	RAB11FIP2 KIAA0941	Homo sapiens (Human)	512
Q92540	Q92540	reviewed	SMG7_HUMAN	Nonsense-mediated mRNA decay factor SMG7 (SMG-7 homolog) (hSMG-7)	SMG7 C1orf16 EST1C KIAA0250	Homo sapiens (Human)	1137
